,G1P,G2P,G3P,G1R,G2R,G3R
Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Glycerophosphoinositols; 1-acyl-sn-glycerol-3-phosphoinositols,0.00020092052369943993,0.00023384814498775684,3.880313933097769e-06,0.0002209452443480755,0.00023340074675716295,3.3788334136104225e-06
Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Cholestane steroids; Cholestane steroids,0.008098217356915717,0.00719972697278487,0.008625848813715403,0.008137948582753234,0.005791167603947462,0.009762478986745858
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty acid esters; Fatty acid esters,0.004885781078929187,0.006002318408556499,0.00020428060541663766,0.00506682472028281,0.005472838739495306,0.00021648025500775245
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; N-acyl-alpha amino acids",0.003222458865783664,0.003052467936237178,0.0030051537209850334,0.0025251885367343243,0.004229452407203383,0.0019419807206806532
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty acid esters; Wax monoesters,0.000614417501444906,0.0004410839252380486,0.0010464631436795581,0.0005736757220665132,0.0003959490443905009,0.0011537206095045044
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Alpha amino acids",0.0047197949590169225,0.0036716013845748165,0.009601320908961876,0.004931909964176823,0.004169882902957994,0.007422265270988293
Organic compounds; Organoheterocyclic compounds; Diazinanes; Piperazines; Phenylpiperazines,0.00017571025872410793,9.916042530386398e-07,0.0004792493434361709,0.0002657222642598949,1.3023877662423676e-06,0.00033209917611251393
Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Steroidal glycosides; Steroid glucuronide conjugates,5.968548393797484e-05,7.319131961801956e-05,8.992451571897515e-05,5.2643838497306836e-05,7.25533597938889e-05,5.786166253450628e-05
Organic compounds; Organoheterocyclic compounds; Diazanaphthalenes; Benzodiazines; Quinoxalines,7.041723038093228e-05,7.723796680785305e-05,1.8999725960154464e-05,0.00017055217949466214,9.476194673562658e-05,5.051036727160823e-05
Organic compounds; Organic oxygen compounds; Organooxygen compounds; Ethers; Dialkyl ethers,4.6160783044114954e-05,6.490022702311963e-05,7.809941582476898e-07,4.40185575714661e-05,4.4809009301608275e-05,7.947006792132734e-07
