,G1P,G2P,G3P,G1R,G2R,G3R
Organic compounds; Organoheterocyclic compounds; Benzazepines; unclassified; Benzazepines,0.000652162365956829,0.001296025360975847,0.0,0.0,0.0030012344889918277,0.0
Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Carboxylic acid derivatives; Secondary carboxylic acid amides,2.598578800430818e-05,0.0,0.0,0.0004248317076555952,0.0,0.0
Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Hippuric acids,0.008256720301456346,0.0,0.0,0.002323725108644112,0.0,0.0
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty acid esters; Acyl carnitines,0.00011087266945053778,0.0006416552656443643,0.007152621894545422,8.239231396346743e-05,0.0007085602899336018,0.0
Organic compounds; Benzenoids; Benzene and substituted derivatives; Phenylmethylamines; Phenylmethylamines,0.0003812926985851006,0.0003348304447910255,0.00023744561944952843,0.0002568010815642678,0.001037768727388579,0.00016581772627746348
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty acid esters; Glycidol esters,0.00011951691860899955,0.0,0.0014247140170146632,0.0001329520656327882,0.0,5.5989359881604256e-05
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Methionine and derivatives",1.96824087743392e-05,0.0,5.412280728166366e-05,0.0,0.00041248258650762354,0.0
Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Monoradylglycerols; 1-monoacylglycerols,9.24745250321538e-05,0.0006045750351407822,0.0,0.0,0.0003585322088087455,0.00010965980188530425
Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Cholestane steroids; Cholestane steroids,9.438394093033919e-05,0.0,0.0,0.0,0.0,0.0
Organic compounds; Benzenoids; Benzene and substituted derivatives; Anilides; Anilides,0.00029842984670441184,0.0002328755020206482,2.0232365447240458e-05,0.00023209976298830515,0.0001448479017457068,0.0
Organic compounds; Benzenoids; Benzene and substituted derivatives; Phenylacetamides; Phenylacetamides,0.0038412608029198057,0.0025803477781145834,0.025709617119135317,0.01958002170622171,0.0,6.93409681634131e-05
